Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.008197,-0.0073304,0.1,0,0,0,1.3313,0.020645,-3.7461E-19,-2.6999E-20,0.023213,1.2187E-18,0.0034844,0,0,0,0,0,0,package://FirstTry0314/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/base_link.STL,mat,關節馬達-本體-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link-11,0.00052443,-0.048741,5.5511E-17,0,0,0,0.13426,5.9611E-05,8.862E-08,-1.2705E-21,5.5476E-05,-8.8508E-22,6.1772E-05,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-11.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-11.STL,mat,關節馬達-1-4,Origin_Joint-11,Axis_Joint-11,Joint-11,continuous,0.091803,-0.25,0.012279,0,-1.5303,1.5708,base_link,0,1,0,,,,,,,,,,,,
Link-12,-0.0057876,-0.036825,0.0040114,0,0,0,0.12291,7.6838E-05,-4.075E-07,1.327E-05,7.1867E-05,2.8244E-07,4.7075E-05,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-12.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-12.STL,mat,關節馬達-2-4,Origin_Joint-12,Axis_Joint-12,Joint-12,continuous,0.037602,-0.05,0,0,-1.4921,1.5708,Link-11,0,1,0,,,,,,,,,,,,
Link-13,8.3267E-17,0.1,0.0028666,0,0,0,0.49632,0.0019227,-1.2535E-18,2.7105E-20,0.00020011,-5.7725E-19,0.0019242,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-13.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-13.STL,mat,關節馬達-3-3,Origin_Joint-13,Axis_Joint-13,Joint-13,continuous,0,-0.037398,0.025,1.5708,-1.328,1.5708,Link-12,0,0,1,,,,,,,,,,,,
Link-14,0.047942,0.21275,0.00053964,0,0,0,1.3182,0.028713,-0.00057712,3.2444E-05,0.00066838,0.00015134,0.028833,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-14.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-14.STL,mat,關節馬達-4-4,Origin_Joint-14,Axis_Joint-14,Joint-14,continuous,0,0.2,0,-3.1416,0,0.65082,Link-13,0,0,1,,,,,,,,,,,,
Link-21,0.00052443,-0.048741,-5.5511E-17,0,0,0,0.13426,5.9611E-05,8.862E-08,1.6941E-21,5.5476E-05,1.4029E-21,6.1772E-05,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-21.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-21.STL,mat,關節馬達-1-5,Origin_Joint-21,Axis_Joint-21,Joint-21,continuous,-0.1082,-0.25,0.012279,3.1416,-1.4554,1.5708,base_link,0,1,0,,,,,,,,,,,,
Link-22,-0.0057876,-0.036099,0.0040114,0,0,0,0.12291,7.6838E-05,-4.075E-07,1.327E-05,7.1867E-05,2.8244E-07,4.7075E-05,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-22.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-22.STL,mat,關節馬達-2-5,Origin_Joint-22,Axis_Joint-22,Joint-22,continuous,0.038328,-0.05,0,-3.1416,-1.5334,-1.5708,Link-21,0,1,0,,,,,,,,,,,,
Link-23,-8.3267E-17,0.1,0.0028666,0,0,0,0.49632,0.0019227,1.527E-18,-2.7105E-20,0.00020011,1.6348E-18,0.0019242,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-23.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-23.STL,mat,關節馬達-3-4,Origin_Joint-23,Axis_Joint-23,Joint-23,continuous,0,-0.036672,0.025,1.5708,-1.3017,1.5708,Link-22,0,0,1,,,,,,,,,,,,
Link-24,0.047942,0.21275,0.00053964,0,0,0,1.3182,0.028713,-0.00057712,3.2444E-05,0.00066838,0.00015134,0.028833,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-24.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-24.STL,mat,關節馬達-4-5,Origin_Joint-24,Axis_Joint-24,Joint-24,continuous,0,0.2,0,3.1416,0,0.52071,Link-23,0,0,1,,,,,,,,,,,,
Link-31,0.00052443,-0.048741,-1.3878E-17,0,0,0,0.13426,5.9611E-05,8.862E-08,-5.294E-21,5.5476E-05,2.3868E-21,6.1772E-05,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-31.STL,1,1,1,1,0,0,0,0,0,0,package://FirstTry0314/meshes/Link-31.STL,mat,關節馬達-1-3,Origin_Joint-31,Axis_Joint-31,Joint-31,continuous,0.091803,0.05,0.012279,0,-1.5303,1.5708,base_link,0,1,0,,,,,,,,,,,,
